index_code,trade_date,expected_value,source
NGXASI,2022-12-30,51251.06,"Nairametrics 2023-12-29: index opened 2023 at 51,251.06 (https://nairametrics.com/2023/12/29/ngx-all-share-index-closes-2023-with-45-9-gain/)"
NGXASI,2023-12-29,74773.77,"Nairametrics 2023-12-29 year-review; NationalEconomy (https://nationaleconomy.com/ngx-all-share-index-soars-to-45-9-gain-as-2023-concludes/)"
NGXASI,2024-12-31,102926.40,"NGX Group official: NGX ASI closes 2024 with +37% return (https://ngxgroup.com/ngx-asi-closes-2024-with-37-return/)"
