ticker,first_observation,last_observation,years_observed,calendar_year_gaps,observations,current_security_present,canonical_instrument_id,canonical_mapping_status
FGS202386,2021-06-16,2021-06-16,1,0,2,True,01a054a7-4be5-7d15-ad2a-d89f72a44517,unique_current_alias
FGS202404,2023-10-09,2023-10-09,1,0,2,True,01a054a7-4be5-766f-b8c4-b9027b10bd58,unique_current_alias
FGS202423,2023-11-13,2023-11-13,1,0,2,True,01a054a7-4be5-78bc-b585-2f1d7b807ba2,unique_current_alias
FGS202518,2023-09-13,2023-09-13,1,0,2,True,01a054a7-4be5-70c6-84ab-a4d5a994fb3e,unique_current_alias
FGS202520,2024-01-15,2024-01-15,1,0,2,True,01a054a7-4be5-7b00-aa26-6d349d2da7ab,unique_current_alias
FGS202537,2023-10-25,2023-10-30,1,0,6,True,01a054a7-4be6-764e-8068-9835bef5b78a,unique_current_alias
FGS202543,2024-01-17,2024-01-18,1,0,4,True,01a054a7-4be6-727d-85e9-89708d203c0a,unique_current_alias
FGS202650,2024-04-02,2024-10-03,1,0,8,True,01a054a7-4be6-71a7-bfb6-85e5f1df553c,unique_current_alias
FGS202656,2024-09-02,2025-06-26,2,0,6,True,01a054a7-4be6-791c-804d-2361e4be9f2f,unique_current_alias
FGS202659,2024-10-23,2024-10-23,1,0,2,True,01a054a7-4be6-7161-8290-f2530e2a2b25,unique_current_alias
FGS202665,2025-03-17,2025-03-17,1,0,2,True,01a054a7-4be6-7828-a738-8c1c7c5a6693,unique_current_alias
FGS202667,2025-02-04,2025-02-07,1,0,4,True,01a054a7-4be6-7416-8f50-4f3876611b84,unique_current_alias
FGS202669,2024-12-16,2024-12-16,1,0,2,True,01a054a7-4be6-7cb1-96b3-3c8b211203d8,unique_current_alias
FGS202758,2025-02-10,2025-02-10,1,0,2,True,01a054a7-4be6-7285-a082-6f5f4a93a051,unique_current_alias
FGS202760,2025-06-19,2025-10-20,1,0,8,True,01a054a7-4be6-7614-8eb6-d491d45d6cda,unique_current_alias
FGS202762,2024-06-24,2024-06-24,1,0,2,True,01a054a7-4be6-7246-8780-6bbd3cb64c30,unique_current_alias
FGS202764,2025-04-15,2025-06-23,1,0,4,True,01a054a7-4be6-7c23-af67-c4eac0498e94,unique_current_alias
FGS202766,2024-09-23,2025-01-30,2,0,14,True,01a054a7-4be6-7278-b080-0dd047e7317f,unique_current_alias
FGS202768,2024-09-25,2025-09-18,2,0,4,True,01a054a7-4be6-75fa-9527-bb28cc5bdba6,unique_current_alias
FGS202770,2024-10-23,2025-05-13,2,0,12,True,01a054a7-4be6-7d5a-8138-849053c954b6,unique_current_alias
FGS202772,2025-05-06,2025-05-06,1,0,2,True,01a054a7-4be6-788c-b3f1-a0c75af4b890,unique_current_alias
FGS202774,2025-02-12,2025-08-29,1,0,10,True,01a054a7-4be6-7736-bb96-a743f866e286,unique_current_alias
FGS202886,2025-08-05,2025-08-05,1,0,2,True,01a054a7-4be6-7c3e-94d4-15df7c6a80cf,unique_current_alias
FGSUK2024S1,2019-11-14,2023-10-31,5,0,24,True,01a054a7-4be6-74e1-a3d2-51272e3fbf5c,unique_current_alias
FGSUK2025S2,2020-10-27,2025-03-13,6,0,28,True,01a054a7-4be6-73be-a1fc-27211f44f4ee,unique_current_alias
FGSUK2027S3,2022-09-22,2026-06-29,5,0,64,True,01a054a7-4be7-7cc7-9042-35948c2de2e3,unique_current_alias
FGSUK2031S4,2022-09-06,2026-07-15,5,0,50,True,01a054a7-4be7-7997-8067-b00119e8bd73,unique_current_alias
