ticker,first_observation,last_observation,years_observed,calendar_year_gaps,observations,current_security_present,canonical_instrument_id,canonical_mapping_status
TAJSUKS2,2026-04-09,2026-07-09,1,0,12,True,01a054a7-4bec-72a1-91b7-533b5a678978,unique_current_alias
TANTALIZER,2014-07-11,2026-08-07,13,0,2481,True,01a054a7-4bec-7961-94f7-94d366ac240d,unique_current_alias
THOMASWY,2014-07-11,2026-08-07,12,1,1676,True,01a054a7-4bec-764b-9db6-84d87900a1e8,unique_current_alias
TIGERBRANDS,2015-11-24,2016-07-22,2,0,296,True,01a054a7-4bec-7e7a-a447-102573839696,unique_current_alias
TIP,2021-08-12,2026-08-07,6,0,1444,True,01a054a7-4bec-7a0e-8a7d-58c3ce9b902c,unique_current_alias
TOTAL,2014-06-30,2026-08-07,13,0,5710,True,01a054a7-4bec-7aef-84bc-d5b549e753b1,unique_current_alias
TOURIST,2014-08-12,2024-12-20,11,0,864,True,01a054a7-4bec-76b8-b1ba-f88a1d5923e8,unique_current_alias
TRANSCOHOT,2015-01-15,2026-08-07,12,0,3917,True,01a054a7-4bec-7c76-bba4-db012a49907f,unique_current_alias
TRANSCORP,2014-06-30,2026-08-07,13,0,5693,True,01a054a7-4bec-70a0-b001-940606d87b0a,unique_current_alias
TRANSEXPR,2014-06-30,2026-08-07,13,0,3412,True,01a054a7-4bec-7413-a9dd-c06c2d3029b7,unique_current_alias
TRANSPOWER,2024-03-04,2026-08-07,3,0,1141,True,01a054a7-4bec-75e6-b481-48c3eae4f241,unique_current_alias
TRIPPLEG,2014-07-02,2026-08-07,13,0,3676,True,01a054a7-4bec-77d3-a2bf-dd7d06b326f8,unique_current_alias
UAC-PROP,2014-06-30,2021-07-08,8,0,3334,True,01a054a7-4bed-7118-a8eb-7fd1716c780a,unique_current_alias
UACN,2014-06-30,2026-08-07,13,0,5712,True,01a054a7-4bed-7e35-9af6-1566ffef8c75,unique_current_alias
UBA,2014-06-30,2026-08-07,13,0,5716,True,01a054a7-4bed-7499-8cec-680d338497fa,unique_current_alias
UBCAP,2014-06-30,2015-11-20,2,0,662,True,01a054a7-4bed-7bba-be1f-bc6ad628628e,unique_current_alias
UBN,2014-06-30,2023-11-13,10,0,4438,True,01a054a7-4bed-7882-9ff8-7f488156265d,unique_current_alias
UCAP,2015-11-23,2026-08-07,12,0,5050,True,01a054a7-4bed-787b-ae8a-5c6bfc92f3a2,unique_current_alias
UHOMREIT,2014-08-12,2026-08-07,13,0,1586,True,01a054a7-4bed-7468-ab5c-a3c87279a60a,unique_current_alias
UNHOMES,2014-07-14,2017-06-23,4,0,458,True,01a054a7-4bed-7667-9dc1-f3daca2b944d,unique_current_alias
UNIC,2014-07-01,2018-09-21,5,0,592,True,01a054a7-4bed-7d2d-ad5b-4888c0b5fd14,unique_current_alias
UNILEVER,2014-06-30,2026-08-07,13,0,5712,True,01a054a7-4bee-7e83-b8e9-f34f0500de20,unique_current_alias
UNIONDAC,2014-07-01,2021-03-04,8,0,1517,True,01a054a7-4bee-72f2-bc4d-e933228d1212,unique_current_alias
UNIONDICON,2014-07-17,2026-08-07,13,0,1826,True,01a054a7-4bee-7db8-90dd-a2c15691a998,unique_current_alias
UNIONVENT,2015-02-27,2015-02-27,1,0,2,True,01a054a7-4bee-75f9-9872-d94f364ce575,unique_current_alias
UNITYBNK,2014-06-30,2024-07-05,11,0,4583,True,01a054a7-4bee-7099-b53f-6bfa3c4d9377,unique_current_alias
UNITYKAP,2014-08-12,2018-04-13,5,0,424,True,01a054a7-4bee-799f-bd75-9bad2542b4a9,unique_current_alias
UNIVINSURE,2014-07-02,2026-08-07,13,0,2954,True,01a054a7-4bee-7a84-b076-0b80054ef081,unique_current_alias
UPDC,2021-07-09,2026-08-07,6,0,2348,True,01a054a7-4bee-7db9-a5c8-aaa9ccb99f48,unique_current_alias
UPDCREIT,2014-07-01,2026-08-07,13,0,3874,True,01a054a7-4bee-7f07-b8c0-4042c19fd5e2,unique_current_alias
UPL,2014-06-30,2026-08-07,13,0,5068,True,01a054a7-4bee-77ac-b844-c99a9f7ddaf3,unique_current_alias
UTC,2014-06-30,2017-04-21,4,0,460,True,01a054a7-4bee-739a-9f8c-ccb0d8cdbf71,unique_current_alias
VALUEFUND,2020-08-07,2020-08-12,1,0,5,True,01a054a7-4bee-7e7c-885a-7fcdc07c01f0,unique_current_alias
VANLEER,2014-07-02,2022-06-06,9,0,569,True,01a054a7-4bee-7fca-8589-0a93b4ab0a08,unique_current_alias
VERITASKAP,2018-04-18,2026-08-07,9,0,3083,True,01a054a7-4bee-7963-8b13-d9921e796585,unique_current_alias
VETBANK,2015-11-10,2026-08-07,9,3,173,True,01a054a7-4bee-7922-82ff-2b01e30dfc69,unique_current_alias
VETGOODS,2016-11-18,2026-08-03,3,8,154,True,01a054a7-4bee-71c6-92a9-e4fa2d7d86e0,unique_current_alias
VETGRIF30,2015-01-29,2026-07-31,11,1,246,True,01a054a7-4bef-7165-8c1e-e072a0f479d7,unique_current_alias
VETINDETF,2017-02-17,2026-07-31,4,6,190,True,01a054a7-4bef-775a-afeb-971c401c4e20,unique_current_alias
VFDGROUP,2023-10-06,2026-08-07,4,0,1309,True,01a054a7-4bef-7039-927e-1d228c4342d5,unique_current_alias
VITAFOAM,2014-06-30,2026-08-07,13,0,5702,True,01a054a7-4bef-76f5-9a5b-216bc2c85e2f,unique_current_alias
VONO,2014-07-01,2016-03-18,3,0,606,True,01a054a7-4bef-7d4f-953f-a9c915d379be,unique_current_alias
VSPBONDETF,2018-05-15,2026-08-06,6,3,618,True,01a054a7-4bef-7e6c-a112-2222a5709911,unique_current_alias
WAGLASS,2014-08-14,2016-04-27,3,0,18,True,01a054a7-4bef-730a-8903-7b9f4e6a11de,unique_current_alias
WAPCO,2014-06-30,2026-07-08,13,0,5682,True,01a054a7-4bef-7153-b531-edbff793dd12,unique_current_alias
WAPIC,2014-06-30,2026-08-07,13,0,5648,True,01a054a7-4bef-7707-baae-04f7d4cdcbf3,unique_current_alias
WEMABANK,2014-06-30,2026-08-07,13,0,5669,True,01a054a7-4bef-7830-a691-e998c3fd53ba,unique_current_alias
ZENITHBANK,2014-06-30,2026-08-07,13,0,5717,True,01a054a7-4bef-7fa7-a794-19f723dcd2e8,unique_current_alias
ZICHIS,2026-01-20,2026-08-07,1,0,218,True,01a054a7-4bef-7e99-8d83-9471f175589d,unique_current_alias
